weighted_p_incorrect,difficulty_rating,below_basic_p_correct,basic_p_correct,proficient_p_correct,advanced_p_correct,QuestionId,b_2pl
0.5225,6,0.3,0.3,0.65,0.9,332,-5.1791
0.808,6,0.25,0.25,0.15,0.03,1702,-0.4997
0.372,4,0.45,0.45,0.85,0.97,934,-0.5221
0.363,3,0.45,0.45,0.88,0.98,1599,-3.3719
0.6325000000000001,6,0.15,0.15,0.6,0.85,306,-0.158
0.37349999999999994,2,0.45,0.45,0.85,0.96,202,-0.2375
0.42300000000000004,3,0.35,0.35,0.88,0.98,644,-0.2617
0.5485,4,0.2,0.2,0.75,0.96,1545,-0.2892
0.5640000000000001,6,0.2,0.2,0.7,0.94,1286,0.0618
0.688,7,0.45,0.45,0.15,0.03,919,0.034
0.5045000000000001,4,0.25,0.25,0.8,0.97,888,0.0015
0.591,6,0.15,0.15,0.7,0.96,506,-0.1058
0.49449999999999994,4,0.3,0.3,0.75,0.92,1607,0.5037
0.5455,5,0.2,0.2,0.75,0.98,1383,0.5622
0.507,6,0.3,0.3,0.7,0.92,254,0.5976
0.55,6,0.2,0.2,0.75,0.95,689,0.2501
0.5655,5,0.2,0.2,0.7,0.93,525,0.6233
0.563,4,0.15,0.15,0.8,0.98,38,0.692
0.715,6,0.25,0.25,0.45,0.15,466,0.7156
0.503,4,0.25,0.25,0.8,0.98,1465,0.8347
