weighted_p_incorrect,difficulty_rating,below_basic_p_correct,basic_p_correct,proficient_p_correct,advanced_p_correct,QuestionId,b_2pl
0.49150000000000005,,0.3,0.3,0.75,0.94,332,-5.1791
0.52,,0.25,0.25,0.75,0.95,1702,-0.4997
0.372,,0.45,0.45,0.85,0.97,934,-0.5221
0.372,,0.45,0.45,0.85,0.97,1599,-3.3719
0.6405,,0.15,0.15,0.55,0.88,306,-0.158
0.402,,0.4,0.4,0.85,0.97,202,-0.2375
0.4605,,0.3,0.3,0.85,0.98,644,-0.2617
0.5205,,0.2,0.2,0.85,0.98,1545,-0.2892
0.5640000000000001,,0.2,0.2,0.7,0.94,1286,0.0618
0.645,,0.15,0.15,0.55,0.85,919,0.034
0.49,,0.3,0.3,0.75,0.95,888,0.0015
0.5645,,0.15,0.15,0.8,0.97,506,-0.1058
0.5495,,0.25,0.25,0.65,0.92,1607,0.5037
0.5625,,0.2,0.2,0.7,0.95,1383,0.5622
0.567,,0.2,0.2,0.7,0.92,254,0.5976
0.6085,,0.1,0.1,0.75,0.96,689,0.2501
0.5515,,0.2,0.2,0.75,0.94,525,0.6233
0.536,,0.2,0.2,0.8,0.96,38,0.692
0.44900000000000007,,0.35,0.35,0.8,0.94,466,0.7156
0.6065,,0.15,0.15,0.65,0.94,1465,0.8347
