QuestionId,concept_complexity_mean,concept_complexity_std,procedural_steps_mean,procedural_steps_std,abstraction_level_mean,abstraction_level_std,prerequisite_knowledge_mean,prerequisite_knowledge_std,distractor_plausibility_mean,distractor_plausibility_std,misconception_strength_mean,misconception_strength_std,question_clarity_mean,question_clarity_std,cognitive_load_mean,cognitive_load_std,age_appropriateness_mean,age_appropriateness_std,transfer_distance_mean,transfer_distance_std,visual_complexity_mean,visual_complexity_std,solution_uniqueness_mean,solution_uniqueness_std,classical_difficulty_mean,classical_difficulty_std,irt_difficulty_mean,irt_difficulty_std,irt_discrimination_mean,irt_discrimination_std,guessing_probability_mean,guessing_probability_std
27,3.0,0.7071067811865476,3.4,0.5477225575051661,3.8,0.4472135954999579,3.6,0.5477225575051661,6.2,0.8366600265340756,7.6,0.5477225575051662,9.4,0.5477225575051662,4.0,0.7071067811865476,9.4,0.5477225575051662,2.6,0.5477225575051661,2.0,0.0,6.2,0.8366600265340756,0.32599999999999996,0.039749213828703577,-0.026000000000000002,0.11013627921806693,1.25,0.07905694150420955,0.052000000000000005,0.019235384061671346
38,5.6,0.5477225575051662,4.4,0.5477225575051662,6.6,0.5477225575051661,6.4,0.5477225575051661,7.6,0.5477225575051661,8.4,0.5477225575051662,9.4,0.5477225575051661,5.4,0.5477225575051662,8.4,0.5477225575051661,3.4,0.5477225575051661,4.6,0.5477225575051661,7.4,0.5477225575051662,0.4880000000000001,0.047644516998286396,0.46399999999999997,0.11588787684654508,1.35,0.07905694150420946,0.126,0.039749213828703577
119,4.4,0.5477225575051662,4.4,0.5477225575051661,4.6,0.5477225575051661,4.4,0.5477225575051662,8.4,0.5477225575051662,8.4,0.5477225575051662,5.6,0.5477225575051662,6.0,0.7071067811865476,8.8,0.4472135954999579,5.4,0.5477225575051662,5.2,0.4472135954999579,7.6,0.5477225575051662,0.518,0.030331501776206228,0.514,0.07536577472566709,1.296,0.07300684899377592,0.13399999999999998,0.03130495168499705
121,6.4,0.5477225575051661,4.6,0.5477225575051662,6.4,0.5477225575051661,6.6,0.5477225575051662,8.4,0.5477225575051661,7.4,0.5477225575051661,8.6,0.5477225575051661,5.4,0.5477225575051662,8.6,0.5477225575051661,4.0,0.7071067811865476,3.4,0.5477225575051661,7.4,0.5477225575051662,0.5040000000000001,0.040373258476372714,0.41999999999999993,0.1282575533838066,1.35,0.07905694150420944,0.09999999999999999,0.038078865529319536
136,2.6,0.5477225575051661,2.6,0.5477225575051661,2.6,0.5477225575051661,3.2,0.4472135954999579,7.4,0.5477225575051662,7.4,0.5477225575051661,8.6,0.5477225575051661,3.6,0.5477225575051661,9.4,0.5477225575051662,2.6,0.5477225575051661,1.4,0.5477225575051661,6.4,0.5477225575051662,0.376,0.036469165057620934,0.15,0.10222524150130437,1.3699999999999999,0.10368220676663858,0.11800000000000002,0.028635642126552705
139,4.0,0.7071067811865476,2.4,0.5477225575051661,4.8,0.4472135954999579,5.2,0.4472135954999579,7.4,0.5477225575051661,7.4,0.5477225575051662,6.6,0.5477225575051661,4.4,0.5477225575051661,8.6,0.5477225575051661,3.6,0.5477225575051661,5.4,0.5477225575051661,7.4,0.5477225575051662,0.4,0.03807886552931955,0.21999999999999997,0.1036822067666386,1.4,0.07905694150420946,0.11800000000000002,0.028635642126552705
153,3.2,0.4472135954999579,3.4,0.5477225575051661,4.2,0.4472135954999579,3.4,0.5477225575051661,6.6,0.5477225575051662,7.0,0.7071067811865476,9.6,0.5477225575051662,3.4,0.5477225575051661,9.4,0.5477225575051661,2.4,0.5477225575051661,2.0,0.0,6.2,0.8366600265340756,0.28,0.0316227766016838,-0.08,0.11510864433221339,1.3,0.07905694150420949,0.039999999999999994,0.015811388300841896
189,4.4,0.5477225575051662,3.4,0.5477225575051661,5.4,0.5477225575051662,5.0,0.0,6.4,0.5477225575051662,6.0,0.7071067811865476,9.0,0.0,4.4,0.5477225575051662,9.0,0.0,3.6,0.5477225575051661,3.0,0.0,7.0,0.0,0.23200000000000004,0.02683281572999749,-0.04999999999999999,0.1414213562373095,1.43,0.04472135954999574,0.05600000000000001,0.013416407864998738
195,5.2,0.4472135954999579,4.8,0.4472135954999579,5.0,0.0,5.6,0.5477225575051661,7.0,0.7071067811865476,6.8,0.4472135954999579,9.2,0.4472135954999579,5.6,0.5477225575051661,8.8,0.4472135954999579,3.6,0.5477225575051661,4.4,0.5477225575051662,6.4,0.5477225575051662,0.404,0.04505552130427524,0.25999999999999995,0.09617692030835673,1.25,0.07905694150420955,0.09999999999999999,0.038078865529319536
202,2.8,0.4472135954999579,2.6,0.5477225575051661,2.6,0.5477225575051661,3.8,0.4472135954999579,6.2,0.8366600265340756,6.4,1.1401754250991378,8.6,0.5477225575051661,3.0,0.7071067811865476,9.4,0.5477225575051661,1.8,0.4472135954999579,4.2,0.4472135954999579,4.8,0.44721359549995787,0.246,0.04774934554525329,-0.32,0.19874606914351792,1.23,0.10368220676663863,0.05600000000000001,0.033615472627943226
