Let's break down the question for Class 6 Indian government school students.

**Question:** Name any two major mountain ranges located in India.
**Rubric:** Names one correct mountain range (e.g., Himalayas, Aravalli, Vindhya, Satpura, Western Ghats, Eastern Ghats).
Max score: 0.5

**Contrastive Analysis:**

1.  **What prior knowledge is assumed?**
    *   **Concept of "mountain ranges":** Students should understand what a mountain range is. This is a fundamental geographical concept usually introduced by Class 4-5.
    *   **Knowledge of major Indian mountain ranges:** They are expected to have learned about India's physical divisions, including major mountain ranges, typically covered in Class 5 or Class 6 Social Science (Geography) textbooks.
    *   **Recall of names:** They need to recall specific names of at least two such ranges.

2.  **What language demands does it place on students with limited English?**
    *   "**Name any two major mountain ranges:**"
        *   "Name": Straightforward verb.
        *   "any two": Understands that two distinct items are required, but any two will do.
        *   "major": While important for context, students might interpret "major" as "important" or simply "big" and might not distinguish minor from major unless explicitly taught. However, most taught ranges are major.
        *   "mountain ranges": The key geographical term. This term is quite standard and would likely be cognate or consistently translated in Hindi-medium texts (e.g., "parvat shrunkhla"). Students would have encountered this repeatedly.
        *   "located in India": Clearly specifies the geographical context.
    *   **Overall:** The language is quite simple and direct. The technical term "mountain ranges" is the most complex, but it's a core concept they should know. It's not abstract or metaphorical.

3.  **Is this recall, application, or reasoning?**
    *   This is almost purely **recall**. Students are expected to retrieve specific factual information (names of mountain ranges) from their memory. There's no application to a new scenario or complex reasoning involved.

4.  **How does it compare in difficulty to typical textbook exercises?**
    *   **Similar difficulty:** This is a very common type of question found in Class 6 Social Science textbooks, end-of-chapter exercises, and school tests. Questions like "List the major physical divisions of India," "Name the mountain ranges in North India," or "Identify the oldest mountain range" are standard. This particular question is even easier as it asks for *any two* and provides a broad range of correct answers. Many textbook questions require 3-5 examples or more specific classifications.

**Additional Factors:**

*   **Economically weaker sections / Hindi-medium:** The language barrier is minimal here due to the simplicity of the question and the high likelihood that "mountain ranges" is a well-known, direct translation or concept. Their learning would be in Hindi.
*   **Average pass rate ~29%:** This is a low average, suggesting many items are indeed difficult, involve more complex language, or demand higher-order skills. However, this particular question stands out as being on the simpler end of recall items for a Class 6 Social Science curriculum.
*   **Breadth of correct answers:** The rubric allows for a wide range of correct answers (Himalayas, Aravalli, Vindhya, Satpura, Western Ghats, Eastern Ghats). Students don't need to recall specific or difficult ones; "Himalayas" is almost universally known.

**Why this might be relatively easier than the average 29% item:**

*   **Fundamental topic:** Major physical features of India (especially mountains, rivers) are core topics covered extensively early in Geography.
*   **High salience:** The Himalayas, in particular, are iconic and discussed often.
*   **Simple recall:** No complex thought process required.
*   **Minimal language ambiguity:** The English is simple and direct.

**Potential Pitfalls:**

*   **Forgetting exact names:** Some students might know there are mountains but struggle with the specific names.
*   **Confusing ranges with individual mountains:** Less likely, but possible for some.
*   **"Located in India":** Missing this detail and naming something outside India, though for mountains, most students will focus on India's primary features.

Given all this, the question targets fundamental knowledge with minimal cognitive or linguistic load for Class 6 students who have had even basic instruction in Indian geography.

**ESTIMATED PROPORTION CORRECT: 65%**
