QuestionId,ConstructId,ConstructName,SubjectId,SubjectName,CorrectAnswer,QuestionText,AnswerAText,AnswerBText,AnswerCText,AnswerDText,MisconceptionAId,MisconceptionBId,MisconceptionCId,MisconceptionDId,resp_A,resp_B,resp_C,resp_D,total_responses,pct_A,pct_B,pct_C,pct_D
0,856,Use the order of operations to carry out calculations involving powers,33,BIDMAS,A,"\[
3 \times 2+4-5
\]
Where do the brackets need to go to make the answer equal \( 13 \) ?",\( 3 \times(2+4)-5 \),\( 3 \times 2+(4-5) \),\( 3 \times(2+4-5) \),Does not need brackets,,,,1672.0,63,98,22,503,686,9.183673469387756,14.285714285714285,3.206997084548105,73.32361516034986
1,1612,Simplify an algebraic fraction by factorising the numerator,1077,Simplifying Algebraic Fractions,D,"Simplify the following, if possible: \( \frac{m^{2}+2 m-3}{m-3} \)",\( m+1 \),\( m+2 \),\( m-1 \),Does not simplify,2142.0,143.0,2142.0,,8,34,64,273,379,2.1108179419525066,8.970976253298153,16.886543535620053,72.0316622691293
2,2774,Calculate the range from a list of data,339,Range and Interquartile Range from a List of Data,B,"Tom and Katie are discussing the \( 5 \) plants with these heights:
\( 24 \mathrm{~cm}, 17 \mathrm{~cm}, 42 \mathrm{~cm}, 26 \mathrm{~cm}, 13 \mathrm{~cm} \)
Tom says if all the plants were cut in half, the range wouldn't change.
Katie says if all the plants grew by \( 3 \mathrm{~cm} \) each, the range wouldn't change.
Who do you agree with?","Only
Tom","Only
Katie",Both Tom and Katie,Neither is correct,1287.0,,1287.0,1073.0,90,508,168,163,929,9.68783638320775,54.68245425188375,18.083961248654468,17.545748116254035
3,2377,Recall and use the intersecting diagonals properties of a rectangle,88,Properties of Quadrilaterals,C,The angles highlighted on this rectangle with different length sides can never be... ![A rectangle with the diagonals drawn in. The angle on the right hand side at the centre is highlighted in red and the angle at the bottom at the centre is highlighted in yellow.](),acute,obtuse,\( 90^{\circ} \),Not enough information,1180.0,1180.0,,1180.0,49,0,0,0,49,100.0,0.0,0.0,0.0
4,3387,Substitute positive integer values into formulae involving powers or roots,67,Substitution into Formula,A,"The equation \( f=3 r^{2}+3 \) is used to find values in the table below. What is the value covered by the star? \begin{tabular}{|c|c|c|c|c|}
\hline\( r \) & \( 1 \) & \( 2 \) & \( 3 \) & \( 4 \) \\
\hline\( f \) & \( 6 \) & \( 15 \) & \( \color{gold}\bigstar \) & \\
\hline
\end{tabular}",\( 30 \),\( 27 \),\( 51 \),\( 24 \),,,,1818.0,277,85,75,55,492,56.30081300813008,17.276422764227643,15.24390243902439,11.178861788617885
5,2052,Identify a unit of area,75,Area of Simple Shapes,D,"James has answered a question on the area of a trapezium and got an answer of \( 54 \).

Behind the star he has written the units that he used.

\(
54 \, \bigstar 
\)

Which of the following units could be correct?",\( m \),\( \mathrm{cm} \),\( \mathrm{km}^{3} \),\( \mathrm{mm}^{2} \),686.0,686.0,686.0,,568,212,122,119,1021,55.631733594515175,20.763956904995105,11.949069539666993,11.655239960822723
6,376,Convert two digit integer percentages to fractions,238,Converting between Fractions and Percentages,B,"Convert this percentage to a fraction
\( 62 \% \)",\( \frac{62}{10} \),\( \frac{31}{50} \),\( \frac{6}{2} \),None of these,329.0,,847.0,329.0,384,121,786,38,1329,28.893905191873586,9.104589917231001,59.14221218961625,2.8592927012791574
7,314,Divide decimals by 10,224,Multiplying and Dividing with Decimals,A,\( 43.2 \div 10= \),\( 4.32 \),\( 0.432 \),\( 33.2 \),\( 43.02 \),,2123.0,2273.0,2133.0,102,296,372,1409,2179,4.681046351537402,13.584212941716384,17.072051399724643,64.66268930702157
8,435,Subtract proper fractions with different denominators which do not share a common factor,230,Adding and Subtracting Fractions,A,"\(
\frac{4}{5}-\frac{1}{3}=\frac{\bigstar}{15}
\)
What should replace the star?",\( 7 \),\( 5 \),\( 17 \),\( 3 \),,907.0,1514.0,907.0,238,1450,116,80,1884,12.632696390658174,76.96390658174099,6.1571125265392785,4.246284501061571
9,1321,Identify horizontal translations in the form f(x) = for non-trigonometric functions,164,Transformations of functions in the form f(x),C,"What transformation maps the graph of
\(y=f(x)
\)
to the graph of
\(
y=f(x-3)
\)","Translation by vector
\(
\left[\begin{array}{l}
0 \\
3
\end{array}\right]
\)","Translation by vector
\(
\left[\begin{array}{c}
0 \\
-3
\end{array}\right]
\)","Translation by vector
\(
\left[\begin{array}{l}
3 \\
0
\end{array}\right]
\)","Translation by vector
\(
\left[\begin{array}{r}
-3 \\
0
\end{array}\right]
\)",1889.0,1234.0,,1312.0,28,42,91,16,177,15.819209039548024,23.728813559322035,51.41242937853108,9.03954802259887
